Travels Name,Bus Type,Price,Time
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:00
Golden ,A/C Semi Sleeper (2+2),300,07:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,05:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:50
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,12:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,05:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,15:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,19:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,14:45
Golden ,A/C Semi Sleeper (2+2),300,09:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,14:00
Golden ,A/C Semi Sleeper (2+2),300,13:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,08:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,13:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,07:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,16:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,09:15
Golden ,A/C Semi Sleeper (2+2),250,19:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,05:15
N.T. Siddhanath Travels ,A/C Sleeper (2+1),1910,21:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,05:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,11:15
Himalaya Travels ,A/C Sleeper (2+1),1510,20:30
Golden ,A/C Semi Sleeper (2+2),250,20:10
N.T. Saini Palace On Wheels ,A/C Sleeper (2+1),1810,22:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,10:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,06:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,07:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,15:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,17:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,13:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,18:15
Neeta tours and travels ,Bharat Benz A/C Sleeper (2+1),1000,22:31
Neeta tours and travels ,A/C Sleeper (2+1),950,23:45
Gujarat     travels ,A/C Sleeper (2+1),500,08:10
Chirag Travels Co.™ ,Scania AC Multi Axle Sleeper (2+1),800,04:50
Neeta tours and travels ,Bharat Benz A/C Sleeper (2+1),1000,22:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,10:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,11:45
Neeta tours and travels ,Bharat Benz A/C Sleeper (2+1),1000,22:29
Neeta tours and travels ,A/C Sleeper (2+1),800,02:30
Neeta Travels (Laxmi Travellers) ,A/C Seater / Sleeper (2+1),400,17:30
Yash Yatra Tour Orgniser ,A/C Seater (2+2),510,20:40
N.T. Mansi ,A/C Sleeper (2+1),2400,15:15
Gujarat     travels ,A/C Sleeper (2+1),1100,09:10
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,18:00
